agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Moderate Skill,Moderate Skill,High,moderate skill,stable,"The result is statistically strong, but not at the highest tier. raw p=0.050; BH-adjusted p=0.550; percentile=95.1; RCSI_z=1.734. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.259448546084998,0.27897790602833217,0.23116873537633886,-0.08037407228073423,0.2583077368520989,1.7335160594084391,0.0499750124937531,0.5497251374312844,1.3012470886362115,95.05247376311844,59,5444,0.00047,False,run_20260501T173928Z_pid57449,59.0,0.250287456445993,14.28813559322034,20.10169491525424,482.4406779661017,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.465; BH-adjusted p=0.587; percentile=53.6; RCSI_z=0.050. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.02291052654148329,-0.019794642997659574,-0.019132452156471084,-0.10362959655155346,0.0057650746848889,0.0500951213418854,0.464767616191904,0.5867066466766616,0.33276414008227634,53.573213393303355,50,5444,0.00047,False,run_20260501T173928Z_pid57449,50.0,0.2033776560203127,9.96,14.2,340.8,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.572; BH-adjusted p=0.587; percentile=42.9; RCSI_z=-0.229. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.04868196263595759,-0.12203721929565241,-0.0843256919851165,-0.08537925710692751,-0.0212784686737553,-0.2285339250272363,0.5717141429285357,0.5867066466766616,0.24282106417920601,42.87856071964018,47,5444,0.00047,False,run_20260501T173928Z_pid57449,47.0,0.1882071437968688,6.425531914893617,8.76595744680851,210.38297872340425,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.114; BH-adjusted p=0.587; percentile=88.6; RCSI_z=1.235. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.15452538764936996,0.28203097366421875,0.20073600215596243,-0.09469700426718153,0.1673346798663628,1.2353406971088534,0.1144427786106946,0.5867066466766616,0.9414116062963236,88.6056971514243,40,5444,0.00047,False,run_20260501T173928Z_pid57449,40.0,0.1687222838137472,17.3,24.375,585.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.556; BH-adjusted p=0.587; percentile=44.5; RCSI_z=-0.189. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.029905028764487196,-0.03387354825017624,-0.026871906496112603,-0.16527243673997538,-0.0286910652897505,-0.1893224837684727,0.5557221389305347,0.5867066466766616,0.2551423013901728,44.47776111944028,52,5444,0.00047,False,run_20260501T173928Z_pid57449,52.0,0.2192478182573763,17.096153846153847,24.384615384615383,585.2307692307693,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.573; BH-adjusted p=0.587; percentile=42.8; RCSI_z=-0.219. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.03443888083641666,-0.10540061842390623,-0.0830665497838658,-0.0920530602030718,-0.0180373052724322,-0.2189455864189383,0.5727136431784108,0.5867066466766616,0.24206247100484024,42.77861069465268,37,5444,0.00047,False,run_20260501T173928Z_pid57449,37.0,0.1574426813924227,6.027027027027027,8.27027027027027,198.48648648648648,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.527; BH-adjusted p=0.587; percentile=47.3; RCSI_z=-0.082. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.01735043106823886,-0.07014843879713523,-0.09878884105407343,-0.07373513804460063,-0.0061209384899561,-0.0820319083701178,0.5272363818090955,0.5867066466766616,0.2779946290024999,47.32633683158421,17,5444,0.00047,False,run_20260501T173928Z_pid57449,17.0,0.07939811262851,10.470588235294118,14.823529411764708,355.7647058823529,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.317; BH-adjusted p=0.587; percentile=68.4; RCSI_z=0.426. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.010602509975756291,0.05148478364896244,0.03749326106051061,-0.05470940080293485,0.030172530647029,0.4257220608761495,0.3168415792103948,0.5867066466766616,0.4991578307544787,68.36581709145428,46,5444,0.00047,False,run_20260501T173928Z_pid57449,46.0,0.1956301522984491,3.282608695652174,4.413043478260869,105.91304347826087,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.436; BH-adjusted p=0.587; percentile=56.5; RCSI_z=0.112. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.005823383550149996,0.023945597454962563,0.021439857724879434,-0.10442618453944785,0.0113033942822605,0.1116649476961934,0.4357821089455272,0.5867066466766616,0.3607306037036442,56.47176411794103,26,5444,0.00047,False,run_20260501T173928Z_pid57449,26.0,0.1096694844789357,13.5,19.26923076923077,462.46153846153845,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.587; BH-adjusted p=0.587; percentile=41.4; RCSI_z=-0.241. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.07197230328338022,-0.1506454592816092,-0.07381625186897778,-0.08741154795094208,-0.0276727902658762,-0.2409087530385246,0.5867066466766616,0.5867066466766616,0.23157899172461577,41.37931034482759,104,5444,0.00047,False,run_20260501T173928Z_pid57449,105.0,0.4352399285026811,4.384615384615385,6.163461538461538,147.92307692307693,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
