agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_number_of_trades,median_number_of_trades,std_number_of_trades,min_number_of_trades,max_number_of_trades,p25_number_of_trades,p75_number_of_trades,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_median_simulated_return,median_median_simulated_return,std_median_simulated_return,min_median_simulated_return,max_median_simulated_return,p25_median_simulated_return,p75_median_simulated_return,proportion_significant,proportion_outperforming_null_median,mean_percentile,median_percentile,std_percentile,min_percentile,max_percentile,p25_percentile,p75_percentile,number_of_outer_runs,simulations_per_run,transaction_cost,research_grade,robustness_scope,p_value_interpretation,null_model,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification
trend_pullback,0.08318707028618569,0.08318707028618569,0.0,0.08318707028618569,0.08318707028618569,0.08318707028618569,0.08318707028618569,0.003330640257154607,0.003330640257154607,4.336808689942018e-19,0.003330640257154607,0.003330640257154607,0.003330640257154607,0.003330640257154607,0.08552306079067834,0.08552306079067835,1.3877787807814457e-17,0.08552306079067835,0.08552306079067835,0.08552306079067835,0.08552306079067835,0.04697582793617924,0.04697582793617924,0.0,0.04697582793617924,0.04697582793617924,0.04697582793617924,0.04697582793617924,-0.2906110474736108,-0.2906110474736108,5.551115123125783e-17,-0.2906110474736108,-0.2906110474736108,-0.2906110474736108,-0.2906110474736108,77.0,77.0,0.0,77,77,77.0,77.0,0.8672285542891421,0.8676264747050589,0.004501143307334159,0.8520295940811837,0.8774245150969806,0.8645770845830834,0.869876024795041,0.06187228817127137,0.06166720441845588,0.0022562641224531605,0.05679023564499424,0.06954532034721454,0.060542641008510506,0.06319628170330026,13.297140571885622,13.25734853029394,0.45011433073341595,12.27754449110178,14.817036592681463,13.032393521295742,13.562287542491502,-0.3610372075746609,-0.36091105154346076,0.004663093596931248,-0.37253223709329353,-0.34695551506167577,-0.3641099340408896,-0.35808268887073463,-1.051295864549637,-1.0505903927442741,0.013356178321966975,-1.1063375918608944,-1.0187147447211946,-1.0589738948150575,-1.0435263614961896,0.4049156424674023,0.4043164028423457,0.006035229317877759,0.3899870285715552,0.4188019353799405,0.40128175800020816,0.40845668193266815,0.0,0.0,13.297140571885622,13.25734853029394,0.45011433073341595,12.27754449110178,14.817036592681463,13.032393521295742,13.562287542491502,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
breakout_volume_momentum,0.29672197244517656,0.29672197244517656,0.0,0.29672197244517656,0.29672197244517656,0.29672197244517656,0.29672197244517656,0.010960525083760471,0.010960525083760471,3.469446951953614e-18,0.010960525083760471,0.010960525083760471,0.010960525083760471,0.010960525083760471,0.3768280481109853,0.3768280481109853,0.0,0.3768280481109853,0.3768280481109853,0.3768280481109853,0.3768280481109853,0.1861803205375321,0.1861803205375321,2.7755575615628914e-17,0.1861803205375321,0.1861803205375321,0.1861803205375321,0.1861803205375321,-0.09474179495971512,-0.09474179495971513,1.3877787807814457e-17,-0.09474179495971513,-0.09474179495971513,-0.09474179495971513,-0.09474179495971513,46.0,46.0,0.0,46,46,46.0,46.0,0.17363127374525095,0.17416516696660667,0.005406473050932724,0.16076784643071385,0.1867626474705059,0.17056588682263546,0.1767646470705859,0.7605835044752915,0.7590386995400046,0.013568584555817635,0.7287099783175744,0.7938008057992165,0.7526045895345946,0.7681078233801447,82.65686862627476,82.60347930413917,0.5406473050932727,81.34373125374925,83.94321135772846,82.34353129374125,82.9634073185363,0.15803253118390512,0.1576266926249321,0.0026934035904156383,0.15271831584009551,0.16395541572675915,0.15610237565481427,0.1601650683608961,0.9203383466951337,0.9194221415199764,0.020339069485892744,0.882806574734129,0.9694418013523602,0.9037397165353331,0.9346068812406767,0.1278772749507517,0.12796015192522844,0.0031090131880268834,0.11920682587738861,0.1348817301059416,0.12563561964298503,0.12989245408985747,0.0,1.0,82.65686862627476,82.60347930413917,0.5406473050932727,81.34373125374925,83.94321135772846,82.34353129374125,82.9634073185363,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
mean_reversion_vol_filter,-0.00965260771574888,-0.00965260771574888,0.0,-0.00965260771574888,-0.00965260771574888,-0.00965260771574888,-0.00965260771574888,-0.0005272940230268406,-0.0005272940230268406,1.0842021724855044e-19,-0.0005272940230268406,-0.0005272940230268406,-0.0005272940230268406,-0.0005272940230268406,-0.04243727802227509,-0.04243727802227509,0.0,-0.04243727802227509,-0.04243727802227509,-0.04243727802227509,-0.04243727802227509,-0.05608507526723741,-0.05608507526723742,1.3877787807814457e-17,-0.05608507526723742,-0.05608507526723742,-0.05608507526723742,-0.05608507526723742,-0.04101369873948323,-0.04101369873948324,6.938893903907228e-18,-0.04101369873948324,-0.04101369873948324,-0.04101369873948324,-0.04101369873948324,13.0,13.0,0.0,13,13,13.0,13.0,0.6577244551089783,0.6575684863027395,0.006866760601145398,0.639872025594881,0.6732653469306139,0.652869426114777,0.6627174565086982,0.18197967927205197,0.18205901337233404,0.004534243748273324,0.17181373815957915,0.19390687622776182,0.17867159329998133,0.18517366893657503,34.24755048990202,34.2631473705259,0.6866760601145391,32.69346130773845,36.03279344131174,33.74825034993001,34.73305338932214,-0.029411479500009236,-0.029461804846185533,0.000925043938038794,-0.03184105058433362,-0.027259388294522197,-0.03009130227778809,-0.028816571009415544,-0.41171811241682604,-0.4124175998134687,0.013488556938926206,-0.44154851269818235,-0.3718400820524739,-0.4217708098549661,-0.4024072620167918,0.01795744175440083,0.01790085168181836,0.0012768111209758802,0.014377909731851043,0.02100702485144411,0.01717774593488222,0.018853579648393775,0.0,0.0,34.24755048990202,34.2631473705259,0.6866760601145391,32.69346130773845,36.03279344131174,33.74825034993001,34.73305338932214,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
trend_momentum_verification,0.21874384341957584,0.21874384341957584,8.326672684688674e-17,0.21874384341957584,0.21874384341957584,0.21874384341957584,0.21874384341957584,0.008438319172275,0.008438319172275,0.0,0.008438319172275,0.008438319172275,0.008438319172275,0.008438319172275,0.29030049507504224,0.29030049507504224,1.1102230246251565e-16,0.29030049507504224,0.29030049507504224,0.29030049507504224,0.29030049507504224,0.2166416645640141,0.2166416645640141,5.551115123125783e-17,0.2166416645640141,0.2166416645640141,0.2166416645640141,0.2166416645640141,-0.08551796498515894,-0.08551796498515896,2.7755575615628914e-17,-0.08551796498515896,-0.08551796498515896,-0.08551796498515896,-0.08551796498515896,35.0,35.0,0.0,35,35,35.0,35.0,0.35283143371325737,0.35292941411717654,0.006347304867173004,0.3333333333333333,0.3669266146770646,0.34928014397120577,0.3567286542691462,0.4525033087658594,0.4523121448238264,0.007838441692942476,0.4354207859595596,0.47712125471966244,0.4476620045075635,0.45682611596808187,64.7368526294741,64.72705458908217,0.634730486717301,63.327334533093385,66.6866626674665,64.34713057388522,65.09198160367926,0.05857071265123884,0.05821993451426501,0.002747099737022676,0.05370549398476318,0.06714755919023413,0.05633843780005386,0.0601143102902435,0.30768477180304027,0.30585710438826474,0.015589782272186053,0.2802227798300721,0.35269303205144786,0.2965885874513131,0.31708535184847597,0.1463142195536166,0.14641234870571956,0.0035436603257608416,0.1333856798858959,0.15362504068368066,0.1440716044375822,0.14843447033585122,0.0,1.0,64.7368526294741,64.72705458908217,0.634730486717301,63.327334533093385,66.6866626674665,64.34713057388522,65.09198160367926,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
adx_trend_following,0.803220296679297,0.803220296679297,2.220446049250313e-16,0.803220296679297,0.803220296679297,0.803220296679297,0.803220296679297,0.025072157420615315,0.02507215742061531,3.469446951953614e-18,0.02507215742061531,0.02507215742061531,0.02507215742061531,0.02507215742061531,0.45827414898539265,0.4582741489853927,5.551115123125783e-17,0.4582741489853927,0.4582741489853927,0.4582741489853927,0.4582741489853927,0.21035799766831548,0.21035799766831548,2.7755575615628914e-17,0.21035799766831548,0.21035799766831548,0.21035799766831548,0.21035799766831548,-0.17736799013594484,-0.17736799013594484,0.0,-0.17736799013594484,-0.17736799013594484,-0.17736799013594484,-0.17736799013594484,110.0,110.0,0.0,110,110,110.0,110.0,0.1384643071385723,0.13857228554289142,0.004444640961483399,0.1269746050789842,0.15196960607878424,0.13532293541291743,0.14162167566486702,0.8588863490072033,0.858323619935861,0.013963315714025105,0.8182432622668764,0.8962831292556921,0.8488703524845743,0.8686286790484005,86.17356528694262,86.1627674465107,0.4444640961483399,84.82303539292143,87.32253549290142,85.85782843431313,86.4877024595081,0.38706032023102255,0.38679880739690903,0.004798364865489092,0.376663148646315,0.40036295349810136,0.3842024235315792,0.3905022677769244,1.0720308578277502,1.0716391822635543,0.01903439345902307,1.0276796157058936,1.1274838386809363,1.0604021780554538,1.0834398039133364,0.37500415400966053,0.37499559941886823,0.005980069307614624,0.355329437587791,0.3874408153940688,0.37087664133717757,0.3790478593020685,0.0,1.0,86.17356528694262,86.1627674465107,0.4444640961483399,84.82303539292143,87.32253549290142,85.85782843431313,86.4877024595081,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
uptrend_oversold_reversion,0.08217401006184413,0.08217401006184413,0.0,0.08217401006184413,0.08217401006184413,0.08217401006184413,0.08217401006184413,0.003767329146962478,0.003767329146962478,4.336808689942018e-19,0.003767329146962478,0.003767329146962478,0.003767329146962478,0.003767329146962478,0.2622065435126087,0.2622065435126087,5.551115123125783e-17,0.2622065435126087,0.2622065435126087,0.2622065435126087,0.2622065435126087,0.24434442353686592,0.24434442353686592,0.0,0.24434442353686592,0.24434442353686592,0.24434442353686592,0.24434442353686592,-0.03757029249089994,-0.03757029249089994,6.938893903907228e-18,-0.03757029249089994,-0.03757029249089994,-0.03757029249089994,-0.03757029249089994,30.0,30.0,0.0,30,30,30.0,30.0,0.3419676064787043,0.34133173365326935,0.006907822731174078,0.3277344531093781,0.35892821435712857,0.33733253349330133,0.34603079384123175,0.46610342963692086,0.46682333343293414,0.008757666648455429,0.4449924016333298,0.4844779009771687,0.46088530528073923,0.47194177195854253,65.82323535292942,65.88682263547291,0.6907822731174074,64.12717456508699,67.24655068986203,65.41691661667666,66.28674265146971,0.03410353024490494,0.033933537236634566,0.0013318283022378575,0.03134758516590428,0.03735049557446122,0.03310567223722189,0.035005139843328495,0.35615260378616226,0.35603706689935954,0.014744794784585246,0.32606457269119105,0.3962462251263613,0.3435646144556649,0.36544917286556156,0.04336447870770343,0.04347364937759014,0.0015664174592252094,0.03944973770278637,0.046738754401124384,0.04217691607296994,0.04442390831448084,0.0,1.0,65.82323535292942,65.88682263547291,0.6907822731174074,64.12717456508699,67.24655068986203,65.41691661667666,66.28674265146971,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
volatility_squeeze_breakout,0.06486324257181232,0.06486324257181232,0.0,0.06486324257181232,0.06486324257181232,0.06486324257181232,0.06486324257181232,0.0028338872489762686,0.002833887248976268,8.673617379884035e-19,0.002833887248976268,0.002833887248976268,0.002833887248976268,0.002833887248976268,0.40885689216702686,0.40885689216702686,1.6653345369377348e-16,0.40885689216702686,0.40885689216702686,0.40885689216702686,0.40885689216702686,1.0791061976299747,1.0791061976299747,4.440892098500626e-16,1.0791061976299747,1.0791061976299747,1.0791061976299747,1.0791061976299747,-0.006990746100307033,-0.006990746100307033,0.0,-0.006990746100307033,-0.006990746100307033,-0.006990746100307033,-0.006990746100307033,4.0,4.0,0.0,4,4,4.0,4.0,0.05709058188362327,0.05698860227954409,0.0033691326960967613,0.04879024195160968,0.06638672265546891,0.055138972205558884,0.0594381123775245,1.244200324801136,1.2442119945391577,0.02585587513704899,1.1779187708436314,1.3116670282089384,1.2259354515406946,1.258541869541189,94.31093781243752,94.32113577284544,0.3369132696096765,93.38132373525295,95.14097180563887,94.0761847630474,94.50609878024396,0.05519726859836953,0.055143767344955255,0.0004919691395155003,0.053662487818697806,0.0566577615602213,0.05488296439795057,0.05551138372225159,1.4903567184988242,1.487056104139397,0.02432604784572831,1.439118767880211,1.5501770605939236,1.4751943964767689,1.5074839531057453,0.010448223428248513,0.010384997938818781,0.0006247570592398157,0.008612488046175565,0.012799101900222553,0.01011542050090065,0.010794076734238774,0.02,1.0,94.31093781243752,94.32113577284544,0.3369132696096765,93.38132373525295,95.14097180563887,94.0761847630474,94.50609878024396,100,5000,0.00047,True,monte_carlo_seed_stability_only,weak evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
connors_rsi2_pullback,0.11836425517030107,0.11836425517030107,4.163336342344337e-17,0.11836425517030107,0.11836425517030107,0.11836425517030107,0.11836425517030107,0.004849455529829478,0.004849455529829478,1.734723475976807e-18,0.004849455529829478,0.004849455529829478,0.004849455529829478,0.004849455529829478,0.2800576669323966,0.2800576669323966,0.0,0.2800576669323966,0.2800576669323966,0.2800576669323966,0.2800576669323966,0.21700909692269385,0.21700909692269385,2.7755575615628914e-17,0.21700909692269385,0.21700909692269385,0.21700909692269385,0.21700909692269385,-0.0384287159624912,-0.0384287159624912,0.0,-0.0384287159624912,-0.0384287159624912,-0.0384287159624912,-0.0384287159624912,41.0,41.0,0.0,41,41,41.0,41.0,0.13804239152169567,0.13847230553889223,0.005351041524460037,0.1235752849430114,0.15376924615076984,0.13492301539692061,0.14182163567286543,0.860316732392628,0.8586371900133856,0.016950882848417215,0.8131305147462368,0.9080683794588519,0.8482575909805989,0.8699140507905692,86.21575684863028,86.17276544691062,0.5351041524460033,84.64307138572286,87.6624675064987,85.8378324335133,86.52769446110777,0.09390177278107327,0.09393410600573418,0.0013805912719849949,0.09058657490073496,0.09754716887096682,0.09292583149678756,0.09490666469107586,1.0802439591867792,1.077669679603606,0.02238436069069024,1.0228231887489556,1.1466658200427011,1.0655368027154302,1.0966597141990622,0.02171121234858548,0.02170812279812856,0.0016765113268667447,0.016879580834394815,0.025346913069264683,0.02069748663283307,0.02256641884112234,0.0,1.0,86.21575684863028,86.17276544691062,0.5351041524460033,84.64307138572286,87.6624675064987,85.8378324335133,86.52769446110777,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
donchian_trend_reentry,0.07127365693101781,0.07127365693101781,1.3877787807814457e-17,0.07127365693101781,0.07127365693101781,0.07127365693101781,0.07127365693101781,0.0030517939178271117,0.003051793917827112,4.336808689942018e-19,0.003051793917827112,0.003051793917827112,0.003051793917827112,0.003051793917827112,0.0910239621136202,0.0910239621136202,2.7755575615628914e-17,0.0910239621136202,0.0910239621136202,0.0910239621136202,0.0910239621136202,0.05426301949073294,0.05426301949073294,6.938893903907228e-18,0.05426301949073294,0.05426301949073294,0.05426301949073294,0.05426301949073294,-0.20412173847788484,-0.20412173847788484,2.7755575615628914e-17,-0.20412173847788484,-0.20412173847788484,-0.20412173847788484,-0.20412173847788484,60.0,60.0,0.0,60,60,60.0,60.0,0.6472065586882624,0.6481703659268145,0.007213535047633935,0.6318736252749451,0.6670665866826635,0.6418216356728654,0.651869626074785,0.18898404429786328,0.18831083377531474,0.004837693351487359,0.17583081258196664,0.19936977192926392,0.18583925447972877,0.1925856509701377,35.2993401319736,35.202959408118375,0.7213535047633937,33.31333733253349,36.832633473305336,34.83303339332133,35.8378324335133,-0.08825302143586437,-0.08841410461829886,0.002759922888945496,-0.09473363572611962,-0.08242206188375348,-0.09021195610235926,-0.0864542296233893,-0.43909977791969185,-0.43975551261499535,0.013422725315825041,-0.47130452620956215,-0.4101934999639557,-0.4470343890520837,-0.4293901489806175,0.14314143166006707,0.14314260081485686,0.0037008369351135342,0.13560709730807197,0.15108813624880107,0.14035421359201028,0.1458933576651242,0.0,0.0,35.2993401319736,35.202959408118375,0.7213535047633937,33.31333733253349,36.832633473305336,34.83303339332133,35.8378324335133,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
turn_of_month_seasonality,0.32293443387976867,0.32293443387976867,0.0,0.32293443387976867,0.32293443387976867,0.32293443387976867,0.32293443387976867,0.011968525804071652,0.011968525804071652,1.734723475976807e-18,0.011968525804071652,0.011968525804071652,0.011968525804071652,0.011968525804071652,0.34632540944986606,0.34632540944986606,1.6653345369377348e-16,0.34632540944986606,0.34632540944986606,0.34632540944986606,0.34632540944986606,0.1435671579687662,0.1435671579687662,2.7755575615628914e-17,0.1435671579687662,0.1435671579687662,0.1435671579687662,0.1435671579687662,-0.10198822358326076,-0.10198822358326076,0.0,-0.10198822358326076,-0.10198822358326076,-0.10198822358326076,-0.10198822358326076,141.0,141.0,0.0,141,141,141.0,141.0,0.23784043191361728,0.23705258948210356,0.0062688224710869735,0.21855628874225155,0.2523495300939812,0.23335332933413316,0.24235152969406118,0.6238649794187849,0.6251553348604846,0.011437101534572216,0.5979974996395523,0.660436692597965,0.6155542347174003,0.6319859985022976,76.23595280943812,76.31473705258948,0.6268822471086972,74.78504299140172,78.16436712657469,75.78484303139372,76.68466306738652,0.14414194824416504,0.1442545083188065,0.003157056395031996,0.13527063074775275,0.1510737823616658,0.14229125008731305,0.14605502621336997,0.6530981277344418,0.655227911425392,0.01859129336306102,0.5959656883251345,0.6914380750817218,0.6413342115834849,0.6640398217127158,0.1594576208843639,0.15918395069929533,0.003905774102649191,0.1500956544962242,0.16993532719633658,0.1567832335426556,0.16203279059796316,0.0,1.0,76.23595280943812,76.31473705258948,0.6268822471086972,74.78504299140172,78.16436712657469,75.78484303139372,76.68466306738652,100,5000,0.00047,True,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
