agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.08318707028618569,0.40129928533458337,0.44740450548026695,0.35309291240904783,13.017396520695861,0.8700259948010398,0.06046777125495079,no evidence,-0.06113025446627924,1.0724672546504364,77,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.8700259948010398
breakout_volume_momentum,0.29672197244517656,0.1285210496111624,0.14032715779330132,0.17226150659191333,82.44351129774046,0.1757648470305939,0.7550679794738958,no evidence,-0.12145466081734532,0.4419008094929328,46,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.4833533293341332
mean_reversion_vol_filter,-0.00965260771574888,0.019862915401435005,0.02159042941814687,0.07102852999073618,33.77324535092981,0.6624675064987002,0.1788354186657078,no evidence,-0.0896625635980124,0.14356094349869658,13,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.7812837432513497
trend_momentum_verification,0.21874384341957584,0.14293262674194923,0.15813680542778374,0.19025095858111019,65.54689062187562,0.3447310537892421,0.4625195930589738,no evidence,-0.12853794959366127,0.49189970493143254,35,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.5417202273830948
adx_trend_following,0.803220296679297,0.3705289583298723,0.4136914828897478,0.3619133957790799,85.88282343531294,0.14137172565486902,0.8496374407507684,no evidence,-0.09281860201102622,1.0660167811027492,110,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.4833533293341332
uptrend_oversold_reversion,0.08217401006184413,0.046361510852016855,0.049389665003680486,0.09429023558097877,65.92681463707258,0.34093181363727254,0.4673324712191512,no evidence,-0.10071822126232742,0.21262065675040365,30,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.5417202273830948
volatility_squeeze_breakout,0.06486324257181232,0.010656708096659613,0.010028115983274933,0.03643590416671318,94.68106378724255,0.05338932213557288,1.2725455931830925,weak evidence,-0.048267894992778795,0.06545944623377441,4,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.4833533293341332
connors_rsi2_pullback,0.11836425517030107,0.02160722903877605,0.02513447201748982,0.08705317713874622,85.74285142971407,0.14277144571085784,0.8453586427714933,no evidence,-0.11116605025094412,0.17355809913508763,41,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.4833533293341332
donchian_trend_reentry,0.07127365693101781,0.1462384548165241,0.16350642057063838,0.201005919539352,35.332933413317335,0.646870625874825,0.18918256954294857,no evidence,-0.1328315818549203,0.5172539363780314,60,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.7812837432513497
turn_of_month_seasonality,0.32293443387976867,0.15530167912574327,0.17779564454944172,0.2249336088786883,76.66466706658667,0.23355328934213157,0.6316140117712871,no evidence,-0.14976935785514126,0.5794225872742537,141,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.5138172365526895
random,0.6010568562392364,0.9381224144604867,1.0418531655433505,0.6837888494232648,28.994201159768046,0.710257948410318,0.14858389744110434,no evidence,0.127593576180913,2.33142667598884,215,0.00047,stochastic_spread_slippage_plus_expected_commission,5000,True,True,42,structure_preserving_random_timing,0.7812837432513497
