asset,agent,p_value,RCSI_z,percentile,final_classification,number_of_trades,is_random_baseline,rank,bh_threshold,bh_significant,bonferroni_significant,bh_adjusted_p
DIA,random,0.0013997200559888,4.7620002674811825,99.88002399520096,strong skill,181.0,True,1,0.00015527950310559007,False,False,0.45070985802839364
BTC-USD,adx_trend_following,0.0069965017491254,4.836021499204898,99.3503248375812,strong skill,69.0,False,2,0.00031055900621118014,False,False,0.9816091954022987
SNAP,random,0.0099800399201596,3.5605656345923364,99.20159680638724,strong skill,90.0,True,3,0.00046583850931677023,False,False,0.9816091954022987
BTC-USD,breakout_volume_momentum,0.0199900049975012,3.3168250219862356,98.05097451274362,strong skill,93.0,False,4,0.0006211180124223603,False,False,0.9816091954022987
INTL,turn_of_month_seasonality,0.0234882558720639,1.928818034406811,97.70114942528735,moderate skill,14.0,False,5,0.0007763975155279504,False,False,0.9816091954022987
DBA,momentum_relative_strength,0.0255,2.6272842255710382,97.45,positive but inconclusive,163.0,False,6,0.0009316770186335405,False,False,0.9816091954022987
NQ=F,connors_rsi2_pullback,0.0267946410717856,2.2531298560685458,97.34053189362128,strong skill,106.0,False,7,0.0010869565217391304,False,False,0.9816091954022987
BTC-USD,donchian_trend_reentry,0.0284857571214392,2.316051880722893,97.20139930034982,strong skill,34.0,False,8,0.0012422360248447205,False,False,0.9816091954022987
BTC-USD,trend_momentum_verification,0.0299850074962518,2.4455929548814894,97.05147426286857,strong skill,34.0,False,9,0.0013975155279503106,False,False,0.9816091954022987
SPY,connors_rsi2_pullback,0.0304847576211894,2.034570273858238,97.0014992503748,strong skill,103.0,False,10,0.0015527950310559007,False,False,0.9816091954022987
ES=F,connors_rsi2_pullback,0.0349825087456271,2.0244578463864964,96.55172413793105,strong skill,86.0,False,11,0.0017080745341614908,False,False,1.0
NQ=F,random,0.0463907218556288,2.034150572886915,95.38092381523695,strong skill,227.0,True,12,0.001863354037267081,False,False,1.0
EURUSD=X,trend_pullback,0.0499750124937531,1.7335160594084391,95.05247376311844,moderate skill,59.0,False,13,0.002018633540372671,False,False,1.0
GC=F,volatility_squeeze_breakout,0.0533893221355728,1.5049750470754983,94.68106378724256,weak skill,4.0,False,14,0.002173913043478261,False,False,1.0
INTL,uptrend_oversold_reversion,0.0554722638680659,1.487339616760354,94.50274862568716,weak skill,2.0,False,15,0.002329192546583851,False,False,1.0
VTEB,trend_pullback,0.059880239520958,1.4425324833061273,94.2115768463074,weak skill,56.0,False,16,0.002484472049689441,False,False,1.0
ETH-USD,random,0.0627874425114977,1.400546237023985,93.74125174965006,weak skill,64.0,True,17,0.002639751552795031,False,False,1.0
INTL,trend_pullback,0.0669665167416291,1.51054472029829,93.35332333833082,weak skill,10.0,False,18,0.0027950310559006213,False,False,1.0
MRNA,trend_momentum_verification,0.0693861227754449,1.4773572661154992,93.08138372325536,weak skill,10.0,False,19,0.0029503105590062114,False,False,1.0
