asset,agent,p_value,RCSI_z,percentile,final_classification,number_of_trades,is_random_baseline,rank,bh_threshold,bh_significant,bonferroni_significant,bh_adjusted_p
GBPUSD=X,uptrend_oversold_reversion,0.0734632683658171,1.4324526753618407,92.70364817591204,weak skill,34.0,False,20,0.0031055900621118015,False,False,1.0
USDJPY=X,mean_reversion_vol_filter,0.0779844031193761,1.4296469305429425,92.22155568886222,weak skill,142.0,False,21,0.0032608695652173916,False,False,1.0
PLTR,momentum_relative_strength,0.082,1.481419948074837,91.8,weak skill,39.0,False,22,0.0034161490683229817,False,False,1.0
SNAP,mean_reversion_vol_filter,0.0858283433133732,0.989679401279014,91.61676646706589,weak skill,3.0,False,23,0.0035714285714285713,False,False,1.0
USDJPY=X,trend_momentum_verification,0.0889822035592881,1.372558624610059,91.12177564487102,weak skill,56.0,False,24,0.003726708074534162,False,False,1.0
TQQQ,random,0.0909818036392721,1.1608527530829955,90.92181563687262,weak skill,96.0,True,25,0.0038819875776397515,False,False,1.0
DBA,volatility_managed_tsmom,0.103,1.3046599317565375,89.7,positive but inconclusive,35.0,False,26,0.004037267080745342,False,False,1.0
BTC-USD,volatility_squeeze_breakout,0.1074462768615692,1.1574861748178094,89.30534732633684,weak skill,11.0,False,27,0.004192546583850932,False,False,1.0
HEI,random,0.1077844311377245,1.2405656689246465,89.42115768463074,weak skill,90.0,True,28,0.004347826086956522,False,False,1.0
ES=F,mean_reversion_vol_filter,0.1114442778610694,1.1585146902899703,88.9055472263868,weak skill,16.0,False,29,0.004503105590062112,False,False,1.0
EURUSD=X,trend_momentum_verification,0.1144427786106946,1.2353406971088534,88.6056971514243,weak skill,40.0,False,30,0.004658385093167702,False,False,1.0
BTC-USD,turn_of_month_seasonality,0.1189405297351324,1.1285732982393937,88.1559220389805,weak skill,56.0,False,31,0.0048136645962732925,False,False,1.0
BOTZ,momentum_relative_strength,0.12,1.1310546022291277,88.0,positive but inconclusive,77.0,False,32,0.004968944099378882,False,False,1.0
DBA,breakout_volume_momentum,0.128,1.1494856838738885,87.2,positive but inconclusive,63.0,False,33,0.005124223602484473,False,False,1.0
QQQ,trend_momentum_verification,0.136431784107946,0.9794954261363036,86.40679660169916,weak skill,87.0,False,34,0.005279503105590062,False,False,1.0
INTL,mean_reversion_vol_filter,0.1394302848575712,0.9195583039507816,86.10694652673662,weak skill,1.0,False,35,0.005434782608695652,False,False,1.0
GBPUSD=X,trend_pullback,0.1404297851074462,1.0962831786857523,86.00699650174913,weak skill,49.0,False,36,0.0055900621118012426,False,False,1.0
GC=F,adx_trend_following,0.141371725654869,1.076303939927458,85.88282343531294,weak skill,110.0,False,37,0.005745341614906832,False,False,1.0
ETH-USD,breakout_volume_momentum,0.1421715656868626,0.7042483922269933,85.80283943211357,weak skill,45.0,False,38,0.005900621118012423,False,False,1.0
GC=F,connors_rsi2_pullback,0.1427714457108578,1.070952103266957,85.74285142971407,weak skill,41.0,False,39,0.006055900621118013,False,False,1.0
DBA,mean_reversion_vol_filter,0.149,1.0385451760503894,85.1,positive but inconclusive,192.0,False,40,0.006211180124223603,False,False,1.0
GBPUSD=X,volatility_squeeze_breakout,0.1754122938530734,0.9145227683891808,82.50874562718641,weak skill,12.0,False,41,0.006366459627329193,False,False,1.0
GC=F,breakout_volume_momentum,0.1757648470305939,0.9078918311237912,82.44351129774046,weak skill,46.0,False,42,0.006521739130434783,False,False,1.0
MTUM,momentum_relative_strength,0.183,0.7169220257816838,81.7,positive but inconclusive,112.0,False,43,0.006677018633540373,False,False,1.0
AUDUSD=X,trend_pullback,0.1904047976011994,0.8616955366629819,81.00949525237381,weak skill,37.0,False,44,0.006832298136645963,False,False,1.0
QQQ,turn_of_month_seasonality,0.1959020489755122,0.6759470022007452,80.45977011494253,weak skill,210.0,False,45,0.006987577639751552,False,False,1.0
ES=F,turn_of_month_seasonality,0.1964017991004497,0.7718721887742004,80.40979510244878,weak skill,195.0,False,46,0.007142857142857143,False,False,1.0
INTL,volatility_squeeze_breakout,0.1989005497251374,0.7607341343831638,80.15992003998001,weak skill,1.0,False,47,0.007298136645962733,False,False,1.0
QQQ,connors_rsi2_pullback,0.2008995502248875,0.7692168457772881,79.960019990005,random / luck,101.0,False,48,0.007453416149068324,False,False,1.0
ICLN,breakout_volume_momentum,0.2015,0.777709637970014,79.85,positive but inconclusive,59.0,False,49,0.007608695652173914,False,False,1.0
FXI,trend_pullback,0.2043591281743651,0.7397285181879579,79.58408318336333,random / luck,83.0,False,50,0.007763975155279503,False,False,1.0
NVAX,trend_pullback,0.2063968015992004,-0.0397603878671864,79.41029485257371,random / luck,76.0,False,51,0.007919254658385094,False,False,1.0
NQ=F,uptrend_oversold_reversion,0.2067586482703459,0.7781591125923043,79.34413117376525,random / luck,71.0,False,52,0.008074534161490683,False,False,1.0
NZDUSD=X,mean_reversion_vol_filter,0.2152,0.7927243071938981,78.48,weak skill,148.0,False,53,0.008229813664596275,False,False,1.0
AUDUSD=X,donchian_trend_reentry,0.2153923038480759,0.7374877182125045,78.51074462768615,random / luck,20.0,False,54,0.008385093167701864,False,False,1.0
FXI,breakout_volume_momentum,0.2205558888222355,0.5563086659008137,77.96440711857629,random / luck,76.0,False,55,0.008540372670807454,False,False,1.0
VXX,momentum_relative_strength,0.221,0.4275614313192522,77.9,positive but inconclusive,63.0,False,56,0.008695652173913044,False,False,1.0
CL=F,breakout_volume_momentum,0.2229554089182163,0.4500152921012522,77.7244551089782,random / luck,96.0,False,57,0.008850931677018633,False,False,1.0
GC=F,turn_of_month_seasonality,0.2335532893421315,0.6452516813910344,76.66466706658667,random / luck,141.0,False,58,0.009006211180124225,False,False,1.0
DBA,trend_pullback,0.235,0.6550622970579687,76.5,positive but inconclusive,120.0,False,59,0.009161490683229814,False,False,1.0
ICLN,momentum_relative_strength,0.236,0.4609397175505164,76.4,positive but inconclusive,166.0,False,60,0.009316770186335404,False,False,1.0
COIN,breakout_volume_momentum,0.243,0.4353566844085277,75.7,random / luck,89.0,False,61,0.009472049689440994,False,False,1.0
ETH-USD,momentum_relative_strength,0.24875024995001,-0.0408233205863299,75.14497100579885,random / luck,56.0,False,62,0.009627329192546585,False,False,1.0
JPYUSD=X,trend_pullback,0.2508745627186406,0.5687603678596943,74.96251874062968,random / luck,63.0,False,63,0.009782608695652175,False,False,1.0
SPY,uptrend_oversold_reversion,0.2508745627186406,0.6326412239855989,74.96251874062968,random / luck,79.0,False,64,0.009937888198757764,False,False,1.0
CL=F,adx_trend_following,0.2655468906218756,0.2915945130300356,73.46530693861227,random / luck,71.0,False,65,0.010093167701863354,False,False,1.0
AUDUSD=X,random,0.2763618190904547,0.5141322781025642,72.41379310344827,random / luck,188.0,True,66,0.010248447204968945,False,False,1.0
CL=F,trend_momentum_verification,0.2823435312937412,0.2055961365558347,71.78564287142571,random / luck,63.0,False,67,0.010403726708074535,False,False,1.0
MRNA,trend_pullback,0.2909418116376724,0.1248628653647414,70.92581483703259,random / luck,16.0,False,68,0.010559006211180125,False,False,1.0
USDJPY=X,breakout_volume_momentum,0.2939412117576485,0.498500458380714,70.625874825035,random / luck,57.0,False,69,0.010714285714285714,False,False,1.0
COIN,volatility_managed_tsmom,0.2965,0.463042689584754,70.35,random / luck,83.0,False,70,0.010869565217391304,False,False,1.0
ARKK,momentum_relative_strength,0.297,0.3094654785880689,70.3,random / luck,102.0,False,71,0.011024844720496895,False,False,1.0
DIA,mean_reversion_vol_filter,0.3003399320135972,0.4688939617078136,69.98600279944012,random / luck,65.0,False,72,0.011180124223602485,False,False,1.0
FXI,trend_momentum_verification,0.3083383323335333,0.3248451648458015,69.18616276744652,random / luck,48.0,False,73,0.011335403726708076,False,False,1.0
AUDUSD=X,mean_reversion_vol_filter,0.3113443278360819,0.4153652932211905,68.91554222888556,random / luck,38.0,False,74,0.011490683229813664,False,False,1.0
AMD,breakout_volume_momentum,0.313373253493014,0.3167350175613084,68.8622754491018,random / luck,74.0,False,75,0.011645962732919256,False,False,1.0
EURUSD=X,connors_rsi2_pullback,0.3168415792103948,0.4257220608761495,68.36581709145428,random / luck,46.0,False,76,0.011801242236024845,False,False,1.0
EVLV,breakout_volume_momentum,0.3173652694610778,0.3337545712816768,68.46307385229541,random / luck,58.0,False,77,0.011956521739130435,False,False,1.0
CL=F,uptrend_oversold_reversion,0.3205358928214357,0.2816965354707781,67.96640671865627,random / luck,48.0,False,78,0.012111801242236027,False,False,1.0
CL=F,volatility_squeeze_breakout,0.3227354529094181,0.2994692998303918,67.74645070985802,random / luck,24.0,False,79,0.012267080745341614,False,False,1.0
VG,trend_pullback,0.3273453093812375,0.2691732037241987,67.46506986027944,random / luck,27.0,False,80,0.012422360248447206,False,False,1.0
COIN,trend_pullback,0.328,0.2640966848660576,67.2,random / luck,111.0,False,81,0.012577639751552794,False,False,1.0
XLF,random,0.329,0.6671565901440835,67.1,random / luck,121.0,True,82,0.012732919254658385,False,False,1.0
HEI,mean_reversion_vol_filter,0.3293413173652694,0.3817279288103913,67.26546906187625,random / luck,18.0,False,83,0.012888198757763975,False,False,1.0
NQ=F,turn_of_month_seasonality,0.3335332933413317,0.2832512708538056,66.66666666666666,random / luck,190.0,False,84,0.013043478260869566,False,False,1.0
VG,random,0.3373253493013972,0.1911613012686448,66.46706586826348,random / luck,27.0,True,85,0.013198757763975156,False,False,1.0
PLTR,trend_pullback,0.3379999999999999,0.182945864291017,66.2,random / luck,35.0,False,86,0.013354037267080746,False,False,1.0
JPYUSD=X,trend_momentum_verification,0.3383308345827086,0.3263537067204116,66.21689155422288,random / luck,42.0,False,87,0.013509316770186337,False,False,1.0
QQQ,trend_pullback,0.3388305847076461,0.2355012343937142,66.16691654172914,random / luck,109.0,False,88,0.013664596273291927,False,False,1.0
NQ=F,mean_reversion_vol_filter,0.3391321735652869,0.4033644276391281,66.10677864427115,random / luck,5.0,False,89,0.013819875776397518,False,False,1.0
GC=F,uptrend_oversold_reversion,0.3409318136372725,0.3476960775011292,65.92681463707258,random / luck,30.0,False,90,0.013975155279503104,False,False,1.0
GC=F,trend_momentum_verification,0.3447310537892421,0.3185636405923989,65.54689062187562,random / luck,35.0,False,91,0.014130434782608696,False,False,1.0
AUDUSD=X,connors_rsi2_pullback,0.3453273363318341,0.3971427140867731,65.51724137931035,random / luck,49.0,False,92,0.014285714285714285,False,False,1.0
TSM,uptrend_oversold_reversion,0.3473263368315842,0.1959960723184742,65.31734132933533,random / luck,58.0,False,93,0.014440993788819877,False,False,1.0
BOTZ,breakout_volume_momentum,0.3515,0.2589940596689904,64.85,null-like / inconclusive,32.0,False,94,0.014596273291925466,False,False,1.0
ES=F,trend_pullback,0.3533233383308345,0.2575407317732192,64.7176411794103,random / luck,116.0,False,95,0.014751552795031056,False,False,1.0
CL=F,turn_of_month_seasonality,0.3569286142771445,0.0673077213962103,64.32713457308539,random / luck,141.0,False,96,0.014906832298136647,False,False,1.0
VXX,random,0.363,0.0009711939102001,63.7,null-like / inconclusive,46.0,True,97,0.015062111801242237,False,False,1.0
AUDUSD=X,volatility_squeeze_breakout,0.3653173413293353,0.346805924123896,63.51824087956022,random / luck,10.0,False,98,0.015217391304347828,False,False,1.0
HEI,trend_pullback,0.3672654690618762,0.3044739970329724,63.47305389221557,random / luck,65.0,False,99,0.015372670807453418,False,False,1.0
CL=F,trend_pullback,0.3693261347730454,0.0107311698027744,63.08738252349531,random / luck,95.0,False,100,0.015527950310559006,False,False,1.0
USDJPY=X,random,0.3739252149570086,0.2198391061544065,62.62747450509898,random / luck,196.0,True,101,0.015683229813664597,False,False,1.0
ARKK,breakout_volume_momentum,0.376,0.0828644729585399,62.4,random / luck,43.0,False,102,0.015838509316770187,False,False,1.0
XLU,trend_pullback,0.3803239352129574,0.1953893478407965,61.9876024795041,random / luck,157.0,False,103,0.015993788819875777,False,False,1.0
CL=F,mean_reversion_vol_filter,0.3813237352529494,0.2649352912348671,61.8876224755049,random / luck,2.0,False,104,0.016149068322981366,False,False,1.0
RKLB,trend_pullback,0.3832335329341317,0.0881477678310046,61.876247504990026,random / luck,76.0,False,105,0.016304347826086956,False,False,1.0
SPY,random,0.3868065967016492,0.0591897587249768,61.36931534232883,random / luck,310.0,True,106,0.01645962732919255,False,False,1.0
SMH,momentum_relative_strength,0.3875,-0.0699193543176303,61.25,null-like / inconclusive,249.0,False,107,0.01661490683229814,False,False,1.0
INTL,trend_momentum_verification,0.3888055972013993,0.2895408387010991,61.169415292353825,random / luck,5.0,False,108,0.01677018633540373,False,False,1.0
RSPN,breakout_volume_momentum,0.3952095808383233,0.324139694170999,60.67864271457086,random / luck,43.0,False,109,0.016925465838509315,False,False,1.0
QQQ,uptrend_oversold_reversion,0.3963018490754623,0.1834147079588186,60.41979010494752,random / luck,74.0,False,110,0.017080745341614908,False,False,1.0
XLU,trend_momentum_verification,0.3963207358528294,0.0883977062436291,60.38792241551689,random / luck,85.0,False,111,0.017236024844720498,False,False,1.0
GBPUSD=X,trend_momentum_verification,0.4052973513243378,0.1760412821459438,59.52023988005997,random / luck,43.0,False,112,0.017391304347826087,False,False,1.0
QQQ,breakout_volume_momentum,0.4077961019490255,0.0851166396615839,59.2703648175912,random / luck,98.0,False,113,0.017546583850931677,False,False,1.0
CL=F,donchian_trend_reentry,0.4085182963407318,-0.0583855789024433,59.16816636672666,random / luck,46.0,False,114,0.017701863354037266,False,False,1.0
XLU,random,0.4189162167566487,0.0374786389361646,58.12837432513497,random / luck,175.0,True,115,0.01785714285714286,False,False,1.0
ES=F,random,0.4217891054472764,0.0001717403408335,57.87106446776612,random / luck,231.0,True,116,0.01801242236024845,False,False,1.0
BOTZ,random,0.4255,0.0743444931872384,57.45,null-like / inconclusive,54.0,True,117,0.01816770186335404,False,False,1.0
COIN,random,0.428,0.0496659998527396,57.2,random / luck,121.0,True,118,0.01832298136645963,False,False,1.0
ICLN,volatility_managed_tsmom,0.433,0.0780750934519445,56.7,null-like / inconclusive,40.0,False,119,0.01847826086956522,False,False,1.0
BTC-USD,connors_rsi2_pullback,0.4337831084457771,0.0214970325092423,56.67166416791605,random / luck,43.0,False,120,0.018633540372670808,False,False,1.0
ES=F,uptrend_oversold_reversion,0.4357821089455272,0.088227085679996,56.47176411794103,random / luck,71.0,False,121,0.018788819875776398,False,False,1.0
EURUSD=X,donchian_trend_reentry,0.4357821089455272,0.1116649476961934,56.47176411794103,random / luck,26.0,False,122,0.018944099378881987,False,False,1.0
VOO,mean_reversion_vol_filter,0.4377811094452773,0.1881469378276429,56.271864067966014,random / luck,8.0,False,123,0.01909937888198758,False,False,1.0
SPY,turn_of_month_seasonality,0.4427786106946527,-0.0475571507114578,55.77211394302849,random / luck,235.0,False,124,0.01925465838509317,False,False,1.0
AUDUSD=X,uptrend_oversold_reversion,0.4462768615692153,0.1059487466313961,55.42228885557221,random / luck,30.0,False,125,0.01940993788819876,False,False,1.0
MRNA,random,0.4533093381323735,-0.2314839477494404,54.68906218756248,random / luck,50.0,True,126,0.01956521739130435,False,False,1.0
NVDA,trend_momentum_verification,0.456271864067966,-0.2646370747848922,54.42278860569715,random / luck,85.0,False,127,0.01972049689440994,False,False,1.0
ARKK,random,0.4575,0.0703251323218772,54.25,random / luck,72.0,True,128,0.01987577639751553,False,False,1.0
ETH-USD,trend_momentum_verification,0.4575084983003399,-0.2180541127874989,54.26914617076585,random / luck,30.0,False,129,0.02003105590062112,False,False,1.0
EURUSD=X,breakout_volume_momentum,0.464767616191904,0.0500951213418854,53.573213393303355,random / luck,50.0,False,130,0.020186335403726708,False,False,1.0
USDJPY=X,momentum_relative_strength,0.4731053789242151,-0.2741641559483911,52.70945810837833,random / luck,174.0,False,131,0.020341614906832298,False,False,1.0
ES=F,volatility_squeeze_breakout,0.4772613693153423,0.0103178826382845,52.32383808095952,random / luck,25.0,False,132,0.02049689440993789,False,False,1.0
MRNA,breakout_volume_momentum,0.4857028594281143,-0.2575562907192181,51.449710057988405,random / luck,28.0,False,133,0.02065217391304348,False,False,1.0
VOO,uptrend_oversold_reversion,0.487256371814093,0.0178180043203342,51.324337831084456,random / luck,38.0,False,134,0.02080745341614907,False,False,1.0
EURUSD=X,random,0.4922538730634682,-0.0813569914650399,50.82458770614693,random / luck,210.0,True,135,0.02096273291925466,False,False,1.0
GM,uptrend_oversold_reversion,0.4932533733133433,-0.1006168168848204,50.72463768115942,random / luck,28.0,False,136,0.02111801242236025,False,False,1.0
PLTR,random,0.495,-0.1760344462688708,50.5,random / luck,26.0,True,137,0.021273291925465843,False,False,1.0
RKLB,breakout_volume_momentum,0.5049900199600799,-0.2517513943409142,49.700598802395206,random / luck,73.0,False,138,0.02142857142857143,False,False,1.0
SMH,random,0.5115000000000001,-0.256653438929924,48.85,null-like / inconclusive,192.0,True,139,0.02158385093167702,False,False,1.0
SPY,breakout_volume_momentum,0.5162418790604698,-0.173560237334952,48.425787106446776,random / luck,115.0,False,140,0.021739130434782608,False,False,1.0
MTUM,mean_reversion_vol_filter,0.5165,-0.1074703415065453,48.35,null-like / inconclusive,46.0,False,141,0.0218944099378882,False,False,1.0
ARK,volatility_managed_tsmom,0.5235,-0.1812504241493961,47.65,random / luck,12.0,False,142,0.02204968944099379,False,False,1.0
XLF,volatility_managed_tsmom,0.5235000000000001,-0.1074088611247453,47.65,random / luck,104.0,False,143,0.02220496894409938,False,False,1.0
THB=X,trend_pullback,0.5246,-0.0783553746609827,47.54,random / luck,427.0,False,144,0.02236024844720497,False,False,1.0
EURUSD=X,volatility_squeeze_breakout,0.5272363818090955,-0.0820319083701178,47.32633683158421,random / luck,17.0,False,145,0.02251552795031056,False,False,1.0
TSM,adx_trend_following,0.527736131934033,-0.3390196668575041,47.276361819090454,random / luck,127.0,False,146,0.022670807453416153,False,False,1.0
AUDUSD=X,adx_trend_following,0.5317341329335332,-0.1268528129864896,46.87656171914043,random / luck,44.0,False,147,0.02282608695652174,False,False,1.0
DIA,trend_pullback,0.5328934213157368,-0.1825033647324088,46.73065386922616,random / luck,125.0,False,148,0.02298136645962733,False,False,1.0
TSM,volatility_squeeze_breakout,0.5377311344327836,-0.2222370023202749,46.27686156921539,random / luck,32.0,False,149,0.02313664596273292,False,False,1.0
VOO,trend_pullback,0.5382308845577212,-0.1782170378629138,46.22688655672164,random / luck,56.0,False,150,0.02329192546583851,False,False,1.0
SPY,trend_pullback,0.5397301349325337,-0.2438172714591575,46.07696151924038,random / luck,132.0,False,151,0.0234472049689441,False,False,1.0
SNAP,trend_pullback,0.5449101796407185,-0.1708708515033919,45.70858283433134,random / luck,48.0,False,152,0.02360248447204969,False,False,1.0
MTUM,breakout_volume_momentum,0.545,-0.1917875836115148,45.5,null-like / inconclusive,39.0,False,153,0.02375776397515528,False,False,1.0
BOTZ,trend_pullback,0.546,-0.2076358329980193,45.4,null-like / inconclusive,72.0,False,154,0.02391304347826087,False,False,1.0
COIN,momentum_relative_strength,0.5495,-0.3206540679250405,45.05,random / luck,353.0,False,155,0.024068322981366463,False,False,1.0
EURUSD=X,adx_trend_following,0.5557221389305347,-0.1893224837684727,44.47776111944028,random / luck,52.0,False,156,0.024223602484472053,False,False,1.0
QQQ,adx_trend_following,0.5612193903048476,-0.3366743713587933,43.92803598200899,random / luck,112.0,False,157,0.02437888198757764,False,False,1.0
VG,breakout_volume_momentum,0.5688622754491018,-0.2465938321543044,43.31337325349301,random / luck,26.0,False,158,0.02453416149068323,False,False,1.0
EURUSD=X,mean_reversion_vol_filter,0.5717141429285357,-0.2285339250272363,42.87856071964018,random / luck,47.0,False,159,0.024689440993788822,False,False,1.0
AUDUSD=X,turn_of_month_seasonality,0.5722138930534733,-0.2277319585301133,42.82858570714643,random / luck,90.0,False,160,0.02484472049689441,False,False,1.0
EURUSD=X,uptrend_oversold_reversion,0.5727136431784108,-0.2189455864189383,42.77861069465268,random / luck,37.0,False,161,0.025,False,False,1.0
EURUSD=X,turn_of_month_seasonality,0.5867066466766616,-0.2409087530385246,41.37931034482759,random / luck,104.0,False,162,0.025155279503105588,False,False,1.0
XLF,breakout_volume_momentum,0.587,-0.2707529715568403,41.3,random / luck,98.0,False,163,0.02531055900621118,False,False,1.0
THB=X,breakout_volume_momentum,0.5872,-0.2349783819402435,41.28,random / luck,201.0,False,164,0.02546583850931677,False,False,1.0
AUDUSD=X,trend_momentum_verification,0.5897051474262869,-0.291781349499512,41.07946026986507,random / luck,38.0,False,165,0.025621118012422364,False,False,1.0
ARKK,trend_pullback,0.59,-0.3640985555894567,41.0,random / luck,78.0,False,166,0.02577639751552795,False,False,1.0
GM,mean_reversion_vol_filter,0.600199900049975,-0.2449498888335161,40.02998500749625,random / luck,2.0,False,167,0.025931677018633543,False,False,1.0
ICLN,trend_pullback,0.6014999999999999,-0.3322134857073641,39.85,null-like / inconclusive,102.0,False,168,0.026086956521739132,False,False,1.0
ES=F,breakout_volume_momentum,0.6041979010494752,-0.3379652569427004,39.63018490754623,random / luck,86.0,False,169,0.026242236024844726,False,False,1.0
VTEB,random,0.6067864271457086,-0.2346923911210541,39.52095808383233,random / luck,90.0,True,170,0.026397515527950312,False,False,1.0
TQQQ,mean_reversion_vol_filter,0.6072785442911418,-0.1479247502409371,39.29214157168566,random / luck,2.0,False,171,0.026552795031055898,False,False,1.0
INTL,connors_rsi2_pullback,0.6106946526736632,-0.2506535303979523,38.980509745127435,random / luck,5.0,False,172,0.02670807453416149,False,False,1.0
EVLV,trend_pullback,0.6107784431137725,-0.3836830647361011,39.12175648702595,random / luck,57.0,False,173,0.02686335403726708,False,False,1.0
NQ=F,trend_momentum_verification,0.6146770645870826,-0.4447757110459759,38.552289542091586,random / luck,87.0,False,174,0.027018633540372674,False,False,1.0
SMH,mean_reversion_vol_filter,0.6265000000000001,-0.4216886279908066,37.35,likely random,107.0,False,175,0.02717391304347826,False,False,1.0
VTEB,breakout_volume_momentum,0.6287425149700598,-0.2747856169924132,37.3253493013972,random / luck,27.0,False,176,0.027329192546583853,False,False,1.0
SPY,volatility_squeeze_breakout,0.6306846576711644,-0.365900868185166,36.98150924537731,random / luck,30.0,False,177,0.027484472049689443,False,False,1.0
SPY,trend_momentum_verification,0.6326836581709145,-0.4927862542162476,36.7816091954023,random / luck,99.0,False,178,0.027639751552795036,False,False,1.0
AUDUSD=X,breakout_volume_momentum,0.6336831584207896,-0.3906227397017528,36.68165917041479,random / luck,30.0,False,179,0.027795031055900622,False,False,1.0
ICLN,mean_reversion_vol_filter,0.634,-0.4365064256985403,36.6,likely random,102.0,False,180,0.02795031055900621,False,False,1.0
INTL,adx_trend_following,0.6376811594202898,-0.3708203234304226,36.28185907046477,random / luck,13.0,False,181,0.0281055900621118,False,False,1.0
ARK,trend_pullback,0.6405000000000001,-0.0942592621621672,35.95,random / luck,36.0,False,182,0.02826086956521739,False,False,1.0
JPYUSD=X,breakout_volume_momentum,0.6461769115442278,-0.4796460927148107,35.43228385807096,random / luck,89.0,False,183,0.028416149068322984,False,False,1.0
GC=F,donchian_trend_reentry,0.646870625874825,-0.458855957331961,35.332933413317335,random / luck,60.0,False,184,0.02857142857142857,False,False,1.0
GM,random,0.6496751624187906,-0.5271910648395054,35.08245877061469,negative skill,130.0,True,185,0.028726708074534164,False,False,1.0
JPYUSD=X,mean_reversion_vol_filter,0.6511744127936032,-0.4346953636244683,34.93253373313343,random / luck,70.0,False,186,0.028881987577639753,False,False,1.0
XLF,trend_pullback,0.6525000000000001,-0.4147608057931904,34.75,random / luck,86.0,False,187,0.029037267080745346,False,False,1.0
USDC-USD,momentum_relative_strength,0.6586826347305389,-0.4452785737180276,34.3313373253493,random / luck,376.0,False,188,0.029192546583850933,False,False,1.0
GC=F,mean_reversion_vol_filter,0.6624675064987002,-0.4398660247927202,33.77324535092981,random / luck,13.0,False,189,0.029347826086956526,False,False,1.0
NQ=F,trend_pullback,0.6776644671065787,-0.5554205523538164,32.25354929014197,negative skill,119.0,False,190,0.029503105590062112,False,False,1.0
NQ=F,volatility_squeeze_breakout,0.6940611877624475,-0.5317942982691853,30.613877224555093,negative skill,19.0,False,191,0.0296583850931677,False,False,1.0
SPY,mean_reversion_vol_filter,0.6946526736631684,-0.5353694628737697,30.584707646176913,negative skill,16.0,False,192,0.029813664596273295,False,False,1.0
VXX,mean_reversion_vol_filter,0.695,-0.547718371365537,30.5,likely random,9.0,False,193,0.02996894409937888,False,False,1.0
TSM,trend_momentum_verification,0.6981509245377311,-0.5563331617571854,30.23488255872064,negative skill,93.0,False,194,0.030124223602484474,False,False,1.0
QQQ,donchian_trend_reentry,0.703648175912044,-0.5933716126391102,29.68515742128935,negative skill,94.0,False,195,0.030279503105590064,False,False,1.0
GC=F,random,0.710257948410318,-0.6446380482453019,28.994201159768046,negative skill,215.0,True,196,0.030434782608695657,False,False,1.0
ARKK,volatility_managed_tsmom,0.7115,-0.592574699097416,28.85,negative skill,31.0,False,197,0.030590062111801243,False,False,1.0
