measure,agent,display,n_trades,actual_cumulative_return,mean_simulated_return,p_value,percentile,RCSI,RCSI_z,verdict,bh_adjusted_p_value
context_matched,trend_pullback,Trend + Pullback,77,0.08318707028618569,1.3667478599055933,1.0,0.01999600079984003,-1.2835607896194077,-14.894951543338959,Below null median,1.0
context_matched,breakout_volume_momentum,Breakout + Volume + Momentum,46,0.29672197244517656,0.23246531196230286,0.021795640871825634,97.84043191361728,0.0642566604828737,2.072665705030081,Moderate,0.07991734986336066
context_matched,mean_reversion_vol_filter,Mean Reversion + Volatility Filter,13,-0.00965260771574888,-0.017145716172211705,0.395120975804839,60.50789842031594,0.007493108456462824,0.10078242909167381,Random / luck,0.7243884556422048
context_matched,trend_momentum_verification,Validation Strategy (Adaptive Volatility Momentum),35,0.21874384341957584,0.3574998516462358,0.9934013197360528,0.6798640271945611,-0.13875600822665998,-2.280445872300645,Below null median,1.0
context_matched,adx_trend_following,ADX Trend Following,110,0.803220296679297,0.7000964685036057,0.009598080383923215,99.06018796240753,0.10312382817569121,2.6879547986440593,Strong,0.052789442111577684
context_matched,uptrend_oversold_reversion,Uptrend Oversold Reversion,30,0.08217401006184413,0.02709396467654327,0.14577084583083383,85.44291141771646,0.05508004538530086,1.1128154550704799,Weak,0.3206958608278344
context_matched,volatility_squeeze_breakout,Volatility Squeeze Breakout,4,0.06486324257181232,0.006384675020738199,0.030393921215756847,96.98060387922416,0.058478567551074126,1.6657689974928411,Moderate,0.08358328334333133
context_matched,connors_rsi2_pullback,Connors RSI(2) Pullback,41,0.11836425517030107,-0.021107516690073224,0.0003999200159968006,99.98000399920016,0.1394717718603743,4.037312761568763,Strong,0.004399120175964807
context_matched,donchian_trend_reentry,Donchian Trend Reentry,60,0.07127365693101781,0.5300274834833274,1.0,0.01999600079984003,-0.45875382655230956,-8.644746115771628,Below null median,1.0
context_matched,turn_of_month_seasonality,Turn-of-Month Seasonality,141,0.32293443387976867,1.060026379191198,1.0,0.01999600079984003,-0.7370919453114293,-36.165438554084105,Below null median,1.0
context_matched,random,Random Baseline,215,0.6010568562392364,1.8567983521109286,1.0,0.01999600079984003,-1.2557414958716921,-60.91906864306229,Below null median,1.0
