measure,agent,display,n_trades,actual_cumulative_return,mean_simulated_return,p_value,percentile,RCSI,RCSI_z,verdict,bh_adjusted_p_value
baseline,trend_pullback,Trend + Pullback,77,0.0831870702861856,0.4474045054802669,0.8700259948010398,13.01739652069586,-0.3642174351940812,-1.0315059362396546,Below null median,0.8700259948010398
baseline,breakout_volume_momentum,Breakout + Volume + Momentum,46,0.2967219724451765,0.1403271577933013,0.1757648470305939,82.44351129774046,0.1563948146518752,0.9078918311237912,Weak,0.4833533293341332
baseline,mean_reversion_vol_filter,Mean Reversion + Volatility Filter,13,-0.0096526077157488,0.0215904294181468,0.6624675064987002,33.77324535092981,-0.0312430371338957,-0.4398660247927218,Below null median,0.7812837432513497
baseline,trend_momentum_verification,Validation Strategy (Adaptive Volatility Momentum),35,0.2187438434195758,0.1581368054277837,0.3447310537892421,65.54689062187562,0.060607037991792,0.3185636405923986,Random / luck,0.5417202273830948
baseline,adx_trend_following,ADX Trend Following,110,0.803220296679297,0.4136914828897478,0.141371725654869,85.88282343531294,0.3895288137895492,1.076303939927458,Weak,0.4833533293341332
baseline,uptrend_oversold_reversion,Uptrend Oversold Reversion,30,0.0821740100618441,0.0493896650036804,0.3409318136372725,65.92681463707258,0.0327843450581636,0.3476960775011284,Random / luck,0.5417202273830948
baseline,volatility_squeeze_breakout,Volatility Squeeze Breakout,4,0.0648632425718123,0.0100281159832749,0.0533893221355728,94.68106378724256,0.0548351265885373,1.5049750470754948,Weak,0.4833533293341332
baseline,connors_rsi2_pullback,Connors RSI(2) Pullback,41,0.118364255170301,0.0251344720174898,0.1427714457108578,85.74285142971407,0.0932297831528112,1.0709521032669571,Weak,0.4833533293341332
baseline,donchian_trend_reentry,Donchian Trend Reentry,60,0.0712736569310178,0.1635064205706383,0.646870625874825,35.332933413317335,-0.0922327636396205,-0.4588559573319614,Below null median,0.7812837432513497
baseline,turn_of_month_seasonality,Turn-of-Month Seasonality,141,0.3229344338797686,0.1777956445494417,0.2335532893421315,76.66466706658667,0.1451387893303269,0.6452516813910345,Random / luck,0.5138172365526895
baseline,random,Random Baseline,215,0.6010568562392364,1.0418531655433505,0.710257948410318,28.994201159768046,-0.440796309304114,-0.6446380482453019,Below null median,0.7812837432513497
leading_gap_200,trend_pullback,Trend + Pullback,77,0.0831870702861856,0.5151364810855843,0.9104179164167168,8.978204359128174,-0.4319494107993986,-1.2141306699900838,Below null median,0.9104179164167168
leading_gap_200,breakout_volume_momentum,Breakout + Volume + Momentum,46,0.2967219724451765,0.1173670228253258,0.1279744051189762,87.22255548890222,0.1793549496198507,1.14457455142031,Weak,0.425614877024595
leading_gap_200,mean_reversion_vol_filter,Mean Reversion + Volatility Filter,13,-0.0096526077157488,0.021061940458048,0.667866426714657,33.23335332933413,-0.0307145481737969,-0.4287825885087954,Below null median,0.7839232153569287
leading_gap_200,trend_momentum_verification,Validation Strategy (Adaptive Volatility Momentum),35,0.2187438434195758,0.1367726697536318,0.3031393721255749,69.70605878824236,0.0819711736659439,0.4649863889974063,Random / luck,0.5865493567953076
leading_gap_200,adx_trend_following,ADX Trend Following,110,0.803220296679297,0.271582170350987,0.05498900219956,94.52109578084384,0.5316381263283099,1.736037258055424,Weak,0.425614877024595
leading_gap_200,uptrend_oversold_reversion,Uptrend Oversold Reversion,30,0.0821740100618441,0.0570905349962871,0.3827234553089382,61.74765046990602,0.025083475065557,0.2632314607405742,Random / luck,0.6014225726283315
leading_gap_200,volatility_squeeze_breakout,Volatility Squeeze Breakout,4,0.0648632425718123,0.0120497481088186,0.0995800839832033,90.0619876024795,0.0528134944629936,1.1893718967046365,Weak,0.425614877024595
leading_gap_200,connors_rsi2_pullback,Connors RSI(2) Pullback,41,0.118364255170301,0.027811921733878,0.1547690461907618,84.54309138172366,0.090552333436423,1.009447694368815,Weak,0.425614877024595
