mechanism,mean_realized_rho,mean_p,reject_rate,mean_RCSI_z
AR(1) smoothed,0.16266941805099155,0.05046990601879624,0.625,2.1494271195128003
Momentum (causal),-0.06794727034496932,1.0,0.0,-4.820248896357393
Noisy oracle,0.10058882753467828,0.10655868826234753,0.4,1.4878635418376294
Regime-conditional,0.26996874798992626,0.053754249150169964,0.85,2.4205344686809367
