agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.870; BH-adjusted p=0.870; percentile=13.0; RCSI_z=-1.032. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.08318707028618477,0.08552306079067835,0.04697582793617924,-0.2906110474736108,-0.3642174351940813,-1.0315059362396548,0.8700259948010398,0.8700259948010398,0.06046777125495079,13.01739652069586,77,6049,0.00047,True,run_20260404T124355Z_pid61269,80.0,0.2684328828312908,14.688311688311687,21.415584415584416,513.974025974026,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.176; BH-adjusted p=0.483; percentile=82.4; RCSI_z=0.908. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.2967219724451762,0.3768280481109853,0.1861803205375321,-0.09474179495971513,0.1563948146518752,0.9078918311237912,0.1757648470305939,0.4833533293341332,0.7550679794738958,82.44351129774046,46,6049,0.00047,True,run_20260404T124355Z_pid61269,48.0,0.1610449735449735,9.5,13.76086956521739,330.2608695652174,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.662; BH-adjusted p=0.781; percentile=33.8; RCSI_z=-0.440. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,-0.009652607715748718,-0.04243727802227509,-0.05608507526723742,-0.04101369873948324,-0.0312430371338955,-0.4398660247927202,0.6624675064987002,0.7812837432513497,0.1788354186657078,33.77324535092981,13,6049,0.00047,True,run_20260404T124355Z_pid61269,13.0,0.0589874031007752,6.384615384615385,9.23076923076923,221.53846153846155,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.345; BH-adjusted p=0.542; percentile=65.5; RCSI_z=0.319. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.21874384341957565,0.29030049507504224,0.2166416645640141,-0.08551796498515896,0.0606070379917921,0.3185636405923989,0.3447310537892421,0.5417202273830948,0.4625195930589738,65.54689062187562,35,6049,0.00047,True,run_20260404T124355Z_pid61269,35.0,0.1240610807033888,11.6,17.114285714285714,410.74285714285713,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.141; BH-adjusted p=0.483; percentile=85.9; RCSI_z=1.076. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.8032202966792963,0.4582741489853927,0.21035799766831548,-0.17736799013594484,0.3895288137895492,1.076303939927458,0.141371725654869,0.4833533293341332,0.8496374407507684,85.88282343531294,110,6049,0.00047,True,run_20260404T124355Z_pid61269,124.0,0.3860845249077491,11.672727272727272,16.954545454545453,406.90909090909093,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.341; BH-adjusted p=0.542; percentile=65.9; RCSI_z=0.348. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.08217401006184466,0.2622065435126087,0.24434442353686592,-0.03757029249089994,0.0327843450581637,0.3476960775011292,0.3409318136372725,0.5417202273830948,0.46733247121915134,65.92681463707258,30,6049,0.00047,True,run_20260404T124355Z_pid61269,32.0,0.1192536241347786,5.033333333333333,7.133333333333334,171.2,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.053; BH-adjusted p=0.483; percentile=94.7; RCSI_z=1.505. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.06486324257181253,0.40885689216702686,1.0791061976299747,-0.006990746100307033,0.0548351265885374,1.5049750470754983,0.0533893221355728,0.4833533293341332,1.2725455931830933,94.68106378724256,4,6049,0.00047,True,run_20260404T124355Z_pid61269,4.0,0.0150234452122408,3.25,4.25,102.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.143; BH-adjusted p=0.483; percentile=85.7; RCSI_z=1.071. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.11836425517030169,0.2800576669323966,0.21700909692269385,-0.0384287159624912,0.0932297831528111,1.070952103266957,0.1427714457108578,0.4833533293341332,0.8453586427714935,85.74285142971407,41,6049,0.00047,True,run_20260404T124355Z_pid61269,43.0,0.14778985078162,3.073170731707317,4.7560975609756095,114.14634146341464,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.647; BH-adjusted p=0.781; percentile=35.3; RCSI_z=-0.459. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.07127365693101773,0.0910239621136202,0.05426301949073294,-0.20412173847788484,-0.0922327636396205,-0.458855957331961,0.646870625874825,0.7812837432513497,0.18918256954294857,35.332933413317335,60,6049,0.00047,True,run_20260404T124355Z_pid61269,63.0,0.2215785003639893,9.183333333333334,13.0,312.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.234; BH-adjusted p=0.514; percentile=76.7; RCSI_z=0.645. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.3229344338797697,0.34632540944986606,0.1435671579687662,-0.10198822358326076,0.1451387893303269,0.6452516813910344,0.2335532893421315,0.5138172365526895,0.6316140117712873,76.66466706658667,141,6049,0.00047,True,run_20260404T124355Z_pid61269,143.0,0.4999635950605778,4.326241134751773,6.177304964539007,148.25531914893617,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
random,Negative Skill,Negative Skill,Low,negative skill,unstable,The result is worse than the random null on all three metrics. raw p=0.710; BH-adjusted p=0.781; percentile=29.0; RCSI_z=-0.645. Robustness stability: unstable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.6010568562392364,0.27098901328983255,0.088156800042442,-0.3090108832256855,-0.440796309304114,-0.6446380482453019,0.710257948410318,0.7812837432513497,0.14858389744110434,28.994201159768046,215,6049,0.00047,True,run_20260404T124355Z_pid61269,217.0,0.7453374145785877,11.925581395348836,17.209302325581394,413.0232558139535,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,15.943563769735082,0.7328235361724574,,-0.4436384412589523,,,,,,,,6169,0.00047,,,,,,,,,
